,address,chinese_company_name,company_name,district,email,fax,placement_type,telephone,valid_license
307,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wanchai, Hong Kong",None,The Hong Kong Internship Platform Limited,Wan Chai District,calvin@the-hkip.com,None,Other Non-office Worker,60420260,2021
308,"Flat C, 3rd floor, Lungga Mansion, 46A Belcher's Street, Kennedy Town, Hong Kong",None,CYLF CONSULTING LIMITED,Central and Western District,chris.yip01@gmail.com,None,"Office Staff / Executive Search, Other Non-office Worker",62911049,2021
309,"Ground floor, 24 Heung Wo Street, Tsuen Wan, New Territories",None,TYM EMPLOYMENT SERVICES,Tsuen Wan District,charmpereztsang@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",61397984,2021
310,"Unit 19, 7th floor, One Midtown, 11 Hoi Shing Road, Tsuen Wan, New Territories",None,D' Angelo Archer Recruitment Limited,Tsuen Wan District,None,None,Office Staff / Executive Search,90581152,2021
311,"Room A04, 17th floor, Tower 1, Grand Century Place, 193 Prince Edward Road West, Mong Kok, Kowloon",None,Talentus Group HK Limited,Yau Tsim Mong District,general@talentusgroup.com,None,Office Staff / Executive Search,23222310,2021
312,"Room 301, 3rd floor, Kam On Building, 176A Queen's Road Central, Central, Hong Kong",None,ASIAN CONSTRUCTION LIMITED,Central and Western District,atlhk@live.hk,28543813,"Foreign Domestic Helpers, Imported Worker",25422340,2021
313,"6th floor, The Gateway Tower 2, 25 Canton Road, Tsim Sha Tsui, Kowloon",None,PERSOLKELLY HONG KONG,Yau Tsim Mong District,None,22810099,Office Staff / Executive Search,22810000,2021
314,"Room 5, 22nd floor, Wealth Commercial Centre, 48 Kwong Wa Street, Mong Kok, Kowloon",None,LW Consulting,Yau Tsim Mong District,andyfspong@gmail.com,None,Office Staff / Executive Search,96294083,2021
315,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,Fortitude Search,Central and Western District,clement.tse@fortitudesearch.com,None,Office Staff / Executive Search,61000811,2021
316,"Flat B, 7th floor, Capital Commercial Building, 448 Shanghai Street, Mong Kok, Kowloon",None,Talent Fishers Hong Kong Executive Search & HR Consulting Limited,Yau Tsim Mong District,china-inquiries@talent-fishers.com,None,Office Staff / Executive Search,None,2021
317,"Unit 1002, 10th floor, Cambridge House, 26-28 Cameron Road, Tsim Sha Tsui, Kowloon",None,J&C Employment Consultant,Yau Tsim Mong District,info@jncemployment.com,None,Office Staff / Executive Search,23378101,2021
318,"Room 803, 8th floor, Hong Kong Plaza, 188 Connaught Road West, Sai Wan, Hong Kong",None,IDEALINK CONSULTANCY,Central and Western District,None,None,Office Staff / Executive Search,None,2021
319,"29th floor, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong",None,Chapman Andrews Executive Recruitment,Central and Western District,info@chapmanandrews.com,None,Office Staff / Executive Search,None,2021
320,"Room 2113, 21st floor, Landmark North, 39 Lung Sum Avenue, Sheung Shui, New Territories",None,V-Match Consultancy,North District,ae168@netvigator.com,None,Office Staff / Executive Search,26682220,2021
321,"5th floor, Man On Commercial Building, 12-13 Jubilee Street, Central, Hong Kong",None,ASTRA CONCORDIA LIMITED,Central and Western District,company@astraconcordia.com,None,Office Staff / Executive Search,37920664,2021
322,"21st floor, Pearl Oriental House, 60 Stanley Street, Central, Hong Kong",None,Yuzu,Central and Western District,yuzu@staranise.com.hk,None,Office Staff / Executive Search,34603531,2021
323,"Unit 186, 1st floor, Peninsula Centre, 67 Mody Road, Tsim Sha Tsui, Kowloon",168女傭顧問公司,I&P 168 CONSULTANT CO,Yau Tsim Mong District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",90981792,2020
324,"15th floor, Pico Tower, 66 Gloucester Road, Wan Chai, Hong Kong",21世紀人事顧問有限公司,ProJob21.com Limited,Wan Chai District,heidi@projob21.com,37550606,Office Staff / Executive Search,37550655,2001
325,"Shop 91, Ground floor, Maximall, 233 Electric Road, North Point, Hong Kong",23僱傭有限公司,Psalm 23 Employment Limited,Eastern District,23employment@gmail.com,36195312,"Local Domestic Helpers, Foreign Domestic Helpers",94368335,2019
326,"Unit 08, 13th floor, Multifield Plaza, 3 Prat Avenue, Tsim Sha Tsui, Kowloon",365兼職,365 PART TIME,Yau Tsim Mong District,cs@365parttime.com.hk,None,Other Non-office Worker,34650213,2017
327,"Room 2102, 21st floor, Beautiful Group Tower, 77 Connaught Road Central, Central, Hong Kong",None,3R Consulting Limited,Central and Western District,edwardyum@gmail.com,39564344,Office Staff / Executive Search,37071368,2019
328,"2nd floor, Cameron Commercial Centre, 458-468 Hennessy Road, Causeway Bay, Hong Kong",None,3T Consulting Company,Wan Chai District,stvccc2011@hotmail.com,None,Office Staff / Executive Search,96064084,2015
329,"9th floor, McDonald's Building, 46 Yee Wo Street, Causeway Bay, Hong Kong",None,4tutor Limited,Wan Chai District,info@4tutor.hk,None,Office Staff / Executive Search,98172557,2019
330,"Shop 3, Ground floor, Cheong Sing Building, 3 Wang Fat Path, Yuen Long, New Territories",520 僱傭,520 Employment Agency,Yuen Long District,agency520@yahoo.com,26793332,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",26793331,2015
331,"Room 2104, 21st floor, Wing Tuck Commercial Centre, 177-183 Wing Lok Street, Sheung Wan, Hong Kong",None,99Owls Consultancy Limited,Central and Western District,recruitment@asia99owls.com,None,Office Staff / Executive Search,57402000,2017
332,"Unit 423, 4th floor, Nan Fung Commercial Centre, 19 Lam Lok Street, Kowloon Bay, Kowloon",揾工網,Gohour,Kwun Tong District,cs@gohour.com,None,"Office Staff / Executive Search, Other Non-office Worker",39775177,2020
333,"Shop 9, 1st floor, Pei Ho Building, 115-117 Fuk Wa Street, Sham Shui Po, Kowloon",啱心水僱傭,DILIGENT EMPLOYMENT,Sham Shui Po District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",None,2021
334,"Room 5D, Ground floor, Ninth Street, Tai Wai Village, Tai Wai, Sha Tin, New Territories",滙心僱傭,LINK HEART EMPLOYMENT,Sha Tin District,linkheartemployment@live.hk,34832018,"Local Domestic Helpers, Foreign Domestic Helpers",27904088,2013
335,"4th floor, Tung Hip Commercial Building, 244-248 Des Voeux Road Central, Central, Hong Kong",晧百有限公司,HOPER LIMITED,Central and Western District,Amberchan@hoperltd.com,None,Office Staff / Executive Search,63711159,2019
336,"Room 1601, 16th floor, Chung Kiu Commercial Building, 47-51 Shan Tung Street, Mong Kok, Kowloon",𡺨志僱傭服務公司,WRIGHT INT'L MANPOWER COMPANY,Yau Tsim Mong District,None,None,Foreign Domestic Helpers,None,2010
337,"Shop 126, 1st floor, Han Palace Building, 441-447 King's Road, North Point, Hong Kong",栢邦僱傭公司,PATPONG EMPLOYMENT COMPANY,Eastern District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",90877913,2019
338,"Unit 9039, 9th floor, Block B, Chung Mei Centre, 15-17 Hing Yip Street, Kwun Tong, Kowloon",栢信文人力資源有限公司,HR Passionman Limited,Kwun Tong District,hrpassionman@gmail.com,,"Office Staff / Executive Search, Other Non-office Worker",93067512,2019
339,"Suite 1604, 16th floor, Global Trade Square, 19-21 Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong",艪思動遊艇有限公司,Lodestone Corporation Limited,Southern District,alex@lodestoneyachts.com,28787390,Office Staff / Executive Search,28787698,2013
340,"Flat A, 15th floor, Goldfield Industrial Building, 144-150 Tai Lin Pai Road, Kwai Chung, New Territories",啓思顧問有限公司,Hunter-S Solutions Limited,Kwai Tsing District,None,None,Office Staff / Executive Search,None,2021
341,"Room 10A, 1st floor, Jumbo Building, 201 Aberdeen Main Road, Aberdeen, Hong Kong",滙泉僱傭公司,CCNL Employment Agency Company,Southern District,ccnl.com.hk@gmail.com,24146996,Foreign Domestic Helpers,24144116,2018
342,"4th floor, Tung Hip Commercial Building, 244-248 Des Voeux Road Central, Sheung Wan, Hong Kong",滙基菲傭服務,WAIKIKI SERVICES & TRADING,Central and Western District,waikikiserv@gmail.com,None,Foreign Domestic Helpers,25216126,2011
343,"Shop B18, 1st floor, San Po Kong Plaza, 33 Shung Ling Street, San Po Kong, Kowloon",栢惠僱傭中心,Win-helper Employment Centre,Wong Tai Sin District,winhelperkln@yahoo.com.hk,83432161,Foreign Domestic Helpers,23526623,1999
344,"Suite 1008, 10th floor, Prosperity Millennia Plaza, 663 King's Road, Quarry Bay, Hong Kong",栢斯浩(亞洲)有限公司,PRISCO ASIA LIMITED,Eastern District,winnie.tan@priscoasia.com,30201844,Office Staff / Executive Search,35498944,2012
345,"Unit 503B2, 5th floor, InnoCentre, 72 Tat Chee Avenue, Kowloon Tong, Kowloon",滙智樺興有限公司,Capital Crux Company Limited,Kowloon City District,sammy.zhou@capitalcrux.com,None,Office Staff / Executive Search,97328395,2019
346,"Rooms 1001-1006, 10th floor, Tower A, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong",滙隆顧問有限公司,WUI LOONG CONSULTANCY COMPANY LIMITED,Southern District,enquiry@wls.com.hk,28660818,Other Non-office Worker,28655622,1998
347,"Room 503, 5th floor, Tung Hip Commercial Building, 246 Des Voeux Road Central, Sheung Wan, Hong Kong",滙誠方圓諮詢集團,Hexacubic Consulting,Central and Western District,info@hexacubic.com,None,Office Staff / Executive Search,None,2020
348,"26th floor, Sino Plaza, 255-257 Gloucester Road, Causeway Bay, Hong Kong",滙環科技服務有限公司,Bayou Technology Services Limited,Wan Chai District,mandy@bts-hk.com,81480016,"Office Staff / Executive Search, Imported Worker",39973130,2020
349,"22nd floor, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong, Kowloon",滙環科技服務有限公司,Bayou Technology Services Limited,Kwun Tong District,mandy@bts-hk.com,81480016,"Office Staff / Executive Search, Imported Worker",39973130,2020
350,"Suite 901, Level 9, The Hong Kong Club Building, 3A Chater Road, Central, Hong Kong",滙翹顧問有限公司,Primelink Executive Recruitment Consultants Limited,Central and Western District,primelink@pl-asia.com,None,Office Staff / Executive Search,28686949,1995
351,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,A MATCH CONSULTANT LIMITED,Central and Western District,pc@amatch.com.hk,None,"Office Staff / Executive Search, Imported Worker",21370567,2014
352,"Room B10, 18th floor, Kwai Fong Industrial Building, 9-15 Kwai Cheong Road, Kwai Chung, New Territories",None,A Start Personnel Limited,Kwai Tsing District,astart@astart.com.hk,None,Office Staff / Executive Search,36299382,2016
353,"RoomA18, Block A, 3rd Floor, Chung Mei Centre, 15 Hing Yip Street, Kwun Tong, Kowloon",None,A.I. Pacific Consultants,Kwun Tong District,cat@ai-pacific.com,37411834,Office Staff / Executive Search,37411833/37411831,2009
354,"Room 1104A, 11th floor, Kai Tak Commercial Building, 317-319 Des Voeux Road Central, Central, Hong Kong",None,AACURAPID (HONG KONG) LIMITED,Central and Western District,admin@aacurapid.com,37470789,Office Staff / Executive Search,25409108,2014
355,"Shop B, Ground floor, 214 Fuk Wing Street, Sham Shui Po, Kowloon",AA僱傭中心,AA HELPER CENTRE,Sham Shui Po District,irenefar123@gmail.com,35689378,"Local Domestic Helpers, Foreign Domestic Helpers",35689377,2018
356,"10th floor, Dawning House, 145 Connaught Road Central, Sheung Wan, Hong Kong",None,AC Professional Services Limited,Central and Western District,amandacheung92@gmail.com,,Office Staff / Executive Search,36861521,2018
357,"66th floor, The Center, 99 Queen's Road Central, Central, Hong Kong",None,ACI HR SOLUTIONS LIMITED,None,info@acihr.com,None,Office Staff / Executive Search,28248911,2012
358,"10th floor, Lee & Man Commercial Center, 169 Electric Road, North Point, Hong Kong",None,ADECCO Personnel Limited,Eastern District,hongkong@adecco.com,28953571,Office Staff / Executive Search,28952616,1997
359,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,ADIRA,Central and Western District,devikavirmani@adiralimited.com,None,Office Staff / Executive Search,98334041,2017
360,"Unit 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,ADMELI ADVISORS COMPANY LIMITED,Central and Western District,chloe.ko@admeli-advisors.com,None,Office Staff / Executive Search,55005779,2013
361,"Room 738, 7th floor, Grand Millennium Plaza, 181 Queen's Road Central, Central, Hong Kong",None,ADP HUMAN RESOURCES SERVICES COMPANY LIMITED,Central and Western District,None,None,Office Staff / Executive Search,None,2016
362,"Level 27, Lee Garden Three, 1 Sunning Road, Causeway Bay, Hong Kong",None,ADP HUMAN RESOURCES SERVICES COMPANY LIMITED,Wan Chai District,kevin.chung@adp.com,None,Office Staff / Executive Search,91619049,2016
363,"Unit 303, 3rd floor, Sun House, 181 Des Voeux Road, Sheung Wan, Hong Kong",None,ADR Group International Limited,Central and Western District,contact@adr-search.com,None,Office Staff / Executive Search,36535593,2010
364,"Unit 303, 3rd floor, Sun House, 181 Des Voeux Road, Sheung Wan, Hong Kong",None,ADR SEARCH,Central and Western District,contact@adr-search.com,None,Office Staff / Executive Search,36535593,2017
365,"Unit 2602-3, 26th floor, BEA Tower, Millennium City 5, 418 Kwun Tong Road, Kwun Tong, Kowloon",None,ADRIAN & COMPANY,Kwun Tong District,contact@adriancom.com,39503403,Office Staff / Executive Search,39503381,2017
366,"Room 201-205, 2nd floor, Kowloon Centre, 29-43 Ashley Road, Tsim Sha Tsui, Kowloon",None,ADVANTIS SEARCH,Yau Tsim Mong District,kavi.harilela@harilela.net,30101005,Office Staff / Executive Search,23762811,2019
367,"Unit 1205, 12th floor, Workingview Commercial Building, 21 Yiu Wa Street, Causeway Bay, Hong Kong",None,ADVENTUSOURCE TALENT LIMITED,Wan Chai District,cy.lee@adventusource.com,None,Office Staff / Executive Search,39917509,2014
368,"11th floor, Honytex Building, 22 Ashley Road, Tsim Sha Tsui, Kowloon",None,AERO TALENT COMPANY LIMITED,Yau Tsim Mong District,info@ai-hk.com,23385322,Other Non-office Worker,23385320,2016
369,"Level 18, Cambridge House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",None,AEROTEK,Central and Western District,chris.croft@allegisgroup.com,34733100,Office Staff / Executive Search,34733111,2016
370,"Suite 1008, 10th floor, Prosperity Millennia Plaza, 663 King's Road, Quarry Bay, Hong Kong",None,AGA AFFINITY GROUP ASIA LIMITED,Eastern District,info@aga-affinity.com,None,Office Staff / Executive Search,23661291,2013
371,"3rd floor, Great Eagle Centre, 23 Harbour Road, Wan Chai, Hong Kong",None,AGS Group Limited,Wan Chai District,ad@agsgroup.com.hk,30116352,Office Staff / Executive Search,21036499,2012
372,"Flat H, 3th floor, Block B, Marvel Industrial Building, 17-23 Kwai Fung Crescent, Kwai Chung, New Territories",None,AGroup Company,Kwai Tsing District,cv@recruithk.net,21511617,Office Staff / Executive Search,21103966,2015
373,"Unit F, 28th floor, CNT Tower, 338 Hennessy Road, Wan Chai, Hong Kong",None,AHC CORPORATION LIMITED,Wan Chai District,info@asiahospitalitycareers.com,28699111,"Office Staff / Executive Search, Other Non-office Worker",57252572,2014
374,"2nd floor, 36 Ma Wan New Village, Pa Mei Street, Tung Chung, Lantau Island, New Territories",None,AIRTECH M&E HK LIMITED,Islands District,shree@airtech.hk,29977373,"Foreign Domestic Helpers, Office Staff / Executive Search",29977330,2017
375,"Unit H, 3rd floor, Central Mansion, 270-276 Queen's Road Central, Sheung Wan, Hong Kong",None,AJOB,Central and Western District,recruit@ajobhk.com,21512969,Office Staff / Executive Search,21513026,2011
376,"Unit M1, 5th floor, Kaiser Estate Phase 3, 9-11 Hok Yuen Street, Hung Hom, Kowloon",None,ALCC CONSULTANT LIMITED,Kowloon City District,clara@alcchk.com,30119572,Office Staff / Executive Search,81023007,2016
377,"17th floor, 80 Gloucester Road, Wan Chai, Hong Kong",None,ALL MARKET CONSULTING LIMITED,Wan Chai District,keith@allmarket.com.hk,81472826,Office Staff / Executive Search,35686323,2014
378,"Office C2, 30th floor, TG Place, 10 Shing Yip Street, Kwun Tong, Kowloon",None,ALLWORTH CONSULTANTS LIMITED,Kwun Tong District,daniel.wong@allworthconsultants.com,37530027,Office Staff / Executive Search,37528866,2011
379,"Room 18014, 18th floor, Tower 535, 535 Jaffe Road, Causeway Bay, Hong Kong",None,ALS International Limited,Wan Chai District,o.wong@alsrecruit.com,,Office Staff / Executive Search,29209100,2002
380,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",None,AMB RECRUIT,Central and Western District,inaykcheng@hotmail.com,None,Office Staff / Executive Search,54215321,2017
381,"22nd floor, On Hong Commercial Building, 145 Hennessy Road, Wan Chai, Hong Kong",None,AMC Associates,Wan Chai District,None,None,Office Staff / Executive Search,96422998,2009
382,"Level 15 & 16, Nexxus Building, 41 Connaught Road Central, Central, Hong Kong",None,AMETHYST PARTNERS,Central and Western District,loretta@amethystasiapartners.com,None,Office Staff / Executive Search,37579999,2018
383,"Room 11, 23rd floor, Wealth Commercial Centre, 48 Kwong Wa Street, Mong Kok, Kowloon",None,AMI Personnel Consultants Co,Yau Tsim Mong District,jobs@ami.com.hk,23329523,Office Staff / Executive Search,21421151,1999
384,"M floor, Sun House, 181 Des Voeux Road Central, Sheung Wan, Hong Kong",None,ANDREW FOUND LIMITED,Central and Western District,himsir@andrewfound.com,None,Office Staff / Executive Search,96007497,2016
385,"Room 1301-02, 13th floor, Wilson House, 19-27 Wyndham Street, Central, Hong Kong",None,ANNE THIESEN LIMITED,Central and Western District,anne@annethiesen.com.hk,25225918,Office Staff / Executive Search,25225268,2011
386,"Flat Q, 15th floor, Kiu Hing Mansion, 11 Tin Hau Temple Road, North Point, Hong Kong",None,ANTHORA,None,None,None,Office Staff / Executive Search,None,2009
387,"Level 19, West Exchange Tower, 322 Des Voeux Road Central, Sheung Wan, Hong Kong",None,AORTA PROFESSIONAL SEARCH GROUP,Central and Western District,vivian.yeung@pplbservices.com,34695455,Office Staff / Executive Search,34695510,2017
388,"Unit 903, 9th floor, On Lok Yuen Building, 25-27A Des Voeux Road Central, Central, Hong Kong",None,AOSOURCE COMPANY LIMITED,Central and Western District,yvettefung2003@yahoo.com.hk,30071477,Office Staff / Executive Search,28106677,2017
389,"Unit 708, 7th floor, Sterling Centre, 11 Cheung Yue Street, Cheung Sha Wan, Kowloon",None,APASS INTERNATIONAL HONG KONG COMPANY LIMITED,Sham Shui Po District,dorothy.mok@apass.com.hk,None,Office Staff / Executive Search,23289039,2012
390,"7th floor, Fun Tower, 35 Hung To Road, Kwun Tong, Kowloon",None,APEX ONE EMPLOYMENT,Kwun Tong District,apexone.employment@gmail.com,None,Foreign Domestic Helpers,61686085,2017
391,"Flat B, 18th floor, Heng Shan Centre, 141-145 Queen's Road East, Wan Chai, Hong Kong",None,APLUS DIRECT MAID HIRE EMPLOYMENT AGENCY COMPANY LIMITED,Wan Chai District,maggie@aplusdirectmaid.com,21560220,Foreign Domestic Helpers,39710428,2018
392,"Flat 1101, 11th floor, Tower 1, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok, Kowloon",None,APS ENTERPRISES CO. LIMITED,Sham Shui Po District,cv@i-aps.net,39058836,Office Staff / Executive Search,27309022,2011
393,"Suite 1802, 18th floor, Chinachem Hollywood Centre, 1-13 Hollywood Road, Central, Hong Kong",None,APTITUDE ASIA LIMITED,None,None,None,Office Staff / Executive Search,None,2010
394,"2B, 2nd floor, 128 Wellington Street, Central, Hong Kong",None,AQUIS SEARCH,Central and Western District,scottharrison@aquissearch.com,,Office Staff / Executive Search,25370333,2008
395,"Unit 1005, 10th floor, World-Wide House, 19 Des Voeux Road Central, Central, Hong Kong",None,ARGYLL SCOTT HONG KONG LIMITED,Central and Western District,kwong@argyllscott.com.hk,,Office Staff / Executive Search,36955180,2017
396,"Room 601, 6th floor, Tung Hip Commercial Building, 248 Des Voeux Road Central, Sheung Wan, Hong Kong",None,ARIA GLOBAL LIMITED,Central and Western District,resume@ariaglobal.net,30119568,Office Staff / Executive Search,35628464,2017
397,"Room A110, 1st Room, Lee Ka Industrial Building, 8 Ng Fong Street, San Po Kong, Kowloon",None,ARIES CONSULTANTS,Wong Tai Sin District,None,None,"Office Staff / Executive Search, Other Non-office Worker",23021287,2016
398,"Unit 770, 7th floor, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan, Hong Kong",None,ASHFORD BENJAMIN LIMITED,Central and Western District,info@ashford-benjamin.com,None,Office Staff / Executive Search,35116063,2016
399,"Room 2310 & 2312, 23rd floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong",None,ASIA LEGAL RESOURCES COMPANY LIMITED,Central and Western District,LLI@ASIALEGALRESOURCES.COM,,Office Staff / Executive Search,61035331,2010
400,"Flat B, 17th floor, 18 Upper East, 18 Shing On Street, Shau Kei Wan, Hong Kong",None,ASIA MEDIA SEARCH LIMITED,Eastern District,rwilliams@asiamediasearch.com,27727100,Office Staff / Executive Search,27727100,2010
401,"Suite 1901, 19th floor, Cheung Kong Center, 2 Queen's Road Central, Central, Hong Kong",None,ASIA MEDIA SEARCH LIMITED,Central and Western District,rwilliams@asiamediasearch.com,27727286,Office Staff / Executive Search,27727100,2013
402,"12th floor, Stag Building, 148-150 Queen's Road Central, Central, Hong Kong",None,ASIA SEARCH PARTNERS,Central and Western District,molly@asplimited.com/melissa@asplimited.com,25512709,Office Staff / Executive Search,25504000,2009
403,"Room 1502, 15th floor, Bangkok Bank Building, 28 Des Voeux Road Central, Central, Hong Kong",None,ASIA YACHT AGENCY,Central and Western District,michaeltao@aymhk.com,29659111,Imported Worker,"23480522, 21477333",2013
404,"Level 18, Cambridge House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",None,ASTON CARTER,Eastern District,None,34733100,Office Staff / Executive Search,34733111,2015
405,"22nd floor, 3 Lockhart Road, Wan Chai, Hong Kong",None,ATALENT EXECUTIVE RECRUITMENT CONSULTANCY LIMITED,Wan Chai District,janice.wong@a-talent.com,None,Office Staff / Executive Search,34811010,2017
406,"Room 1502, 15th floor, Tung Hip Commercial Building, 248 Des Voeux Road Central, Sheung Wan, Hong Kong",None,ATTIVO CONSULTING LIMITED,Central and Western District,info@attivoasia.com,37478346,Office Staff / Executive Search,35273864,2015
407,"Suite 121, 12th floor, Somptueux Central, 52-54 Wellington Street, Central, Hong Kong",None,AUREUM PARTNERS LIMITED,None,andrew@aureumpartners.com.hk,None,Office Staff / Executive Search,None,2014
408,"House A16, Marina Cove, 380 Hiram's Highway, Sai Kung, New Territories",None,AZIL CONSULTING LIMITED,None,azil.consulting@yahoo.com,None,Office Staff / Executive Search,None,2016
409,"Unit C, 4th floor, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui, Kowloon",None,Abbion Services Limited,Yau Tsim Mong District,abbion@abbion.com.hk,None,Office Staff / Executive Search,31826939,2016
410,"Room 21, 4th floor, Tung Hip Commercial Building, 244-248 Des Voeux Road Central, Central, Hong Kong",None,Achiever Company,Central and Western District,mw.kwok@hkachiever.com,21173089,Office Staff / Executive Search,21172632,2014
411,"2nd floor, Eton Tower, 8 Hysan Avenue, Causeway Bay, Hong Kong",None,Across Consultants Limited,None,None,None,Office Staff / Executive Search,None,2007
412,"Unit 2001, 20th floor, Mongkok Commercial Centre, 16 Argyle Street, Mong Kok, Kowloon",None,Adlego Executive Search Company Limited,Yau Tsim Mong District,felix.lai@adlego.biz,30078328,Office Staff / Executive Search,None,2014
413,"Level 12, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong",None,Advanz Group Limited,Central and Western District,stephen.wong@advanzgroup.com,None,Office Staff / Executive Search,37963363,2002
414,"14th floor, China Hong Kong Tower, 8 Hennessy Road, Wan Chai, Hong Kong",None,Agora Group Limited,Wan Chai District,contact@agoragroupinternational.com,None,"Office Staff / Executive Search, Other Non-office Worker",81929318,2012
415,"Level 19, West Exchange Tower, 322 Des Voeux Road Central, Sheung Wan, Hong Kong",None,Align Group Limited,Central and Western District,btang@aligngroup.com.hk,None,Office Staff / Executive Search,34695555,2018
416,"Flat D, 9th floor, Tower E, The Grandville, 2 Lok Kwai Path, Sha Tin, New Territories",None,Alistair Consultants Limited,Sha Tin District,alicewan@netvigator.com,None,Office Staff / Executive Search,96329694,2017
417,"Unit 301, 3rd floor, Cambridge House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",None,Allegis Global Solutions,Eastern District,lywood@allegisglobalsolutions.com,None,Office Staff / Executive Search,39743016,2015
418,"Suite 17, 21st floor, LKF Tower, 33 Wyndham Street, Central, Hong Kong",None,Allegis Partners,Central and Western District,aleung@mlaglobal.com,None,Office Staff / Executive Search,31019678,2015
419,"Office 103, 1st floor, Kai Wong Commercial Building, 224 Queen's Road Central, Sheung Wan, Hong Kong",None,Alpha Access Limited,Central and Western District,Li@al-access.com,None,Office Staff / Executive Search,65086165,2018
420,"Room 607, 6th floor, Global Trade Centre, 15 Wing Kin Road, Kwai Chung, New Territories",None,Alps Consultancy Limited,Kwai Tsing District,angel@alpshr.com,None,Office Staff / Executive Search,63868452,2018
421,"Room 1602, 16th floor, Multifield Commercial Centre, 426 Shanghai Street, Mong Kok, Kowloon",None,Amber Services,Yau Tsim Mong District,lamhokin@yahoo.com,None,Office Staff / Executive Search,28684678,2017
422,"7th floor, Low Block, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan, Hong Kong",None,Ambitious People Hong Kong Limited,Central and Western District,None,None,Office Staff / Executive Search,None,2017
423,"Room 4101, 41st floor, Hopewell Centre, 183 Queen's Road East, Wan Chai, Hong Kong",None,Amrop China,None,None,None,Office Staff / Executive Search,None,2011
424,"Room 301, 3rd floor, Sun Hung Kai Centre, 30 Harbour Road, Wan Chai, Hong Kong",None,Aoba Executive Recruitment,Wan Chai District,hojin@aoba.com.hk,28507151,Office Staff / Executive Search,39294800,2017
425,"Room 701, 7th floor, Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",None,Apegen Limited,Yau Tsim Mong District,info@apegen.com,21627639,Office Staff / Executive Search,21627432,2012
426,"Flat B, 7th floor, Shing Hing Commercial Building, 21-27 Wing Kut Street, Central, Hong Kong",None,Aphrodia Asia Limited,None,None,None,Office Staff / Executive Search,None,2014
427,"Room 702, 7th floor, Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan, Hong Kong",None,Aplus Talent Asia Limited,Central and Western District,IVOR.WAI@APLUSTA.COM,None,Office Staff / Executive Search,37963381,2018
428,"Unit 1901, 19th floor, Keen Hung Commercial Building, 80 Queen's Road East, Wan Chai, Hong Kong",None,"Arbutus Recruitment Co., Limited",Wan Chai District,rickychan@arbutus.com,39568658,Office Staff / Executive Search,39558755,2015
429,"20th floor, Tung Wai Commercial Building, 109-111 Gloucester Road, Wan Chai, Hong Kong",None,ArcBlue Search,Wan Chai District,guy.wiffen@arcbluesearch.com,None,Office Staff / Executive Search,55916753,2016
430,"16th floor, 700 Nathan Road, Mong Kok, Kowloon",None,Ardent Search Limited,Yau Tsim Mong District,connect@ardent-search.com,None,Office Staff / Executive Search,39764244,2018
431,"2nd floor, Dorset House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",None,Arion House Limited,Wan Chai District,info@arionhouse.com,None,Office Staff / Executive Search,36898935,2014
432,"7th floor, Man On Commercial Building, 12-13 Jubilee Street, Central, Hong Kong",None,Artemis Partners Limited,Central and Western District,None,None,Office Staff / Executive Search,94489800,2019
433,"Room A, 21st floor, Gaylord Commercial Building, 114-118 Lockhart Road, Wan Chai, Hong Kong",None,Ascendant Consultants Limited,Wan Chai District,joyce@ascendant.hk,None,Office Staff / Executive Search,34285272,2017
434,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",None,Ascentis Asia Limited,None,None,None,Office Staff / Executive Search,None,2011
