,Unnamed: 0,address,chinese_company_name,company_name,district,email,fax,placement_type,telephone,valid_license
204,204,"Room 1701B, 17th floor, Witty Commercial Building, 1A-1L Tung Choi Street, Mong Kok, Kowloon",None,C Foundation Limited,Yau Tsim Mong District,jasonlamkk@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",90899179,2020
205,205,"Room 2104, 21st floor, K. Wah Centre, 191 Java Road, North Point, Hong Kong",None,THE WITTGENSTEINS,Eastern District,robert.niu@wittgensteins.com,28152322,Office Staff / Executive Search,28152345,2020
206,206,"Room 2, 12th floor, Tung Che Commercial Centre, 246 Des Voeux Road West, Sai Ying Pun, Hong Kong",None,KAIROS SEARCH LIMITED,Central and Western District,info@kairosrecruit.com,None,Office Staff / Executive Search,None,2020
207,207,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,JFE Consulting Limited,Central and Western District,johnny@jfe-consulting.com,None,Office Staff / Executive Search,66426530,2020
208,208,"Room 301, 3rd floor, Sun Hung Kai Centre, 30 Harbour Road, Wan Chai, Hong Kong",None,Hopkins Executive Recruitment,Wan Chai District,info@hopkinshk.com,28507151,Office Staff / Executive Search,39294800,2020
209,209,"14th floor, Golden Centre, 188 Des Voeux Road Central, Central, Hong Kong",None,AERO EXECUTIVE LIMITED,Central and Western District,benwainwright81@gmail.com,None,Office Staff / Executive Search,94430658,2020
210,210,"27th floor, World Wide House, 19 Des Voeux Road Central, Central, Hong Kong",None,WHI Asia Limited,Central and Western District,ami.bhatt@augustleadership.com,None,Office Staff / Executive Search,37967188,2020
211,211,"Room 02-07, 24th floor, Berkshire House, 25 Westlands Road, Quarry Bay, Hong Kong",None,RnR Limited,Eastern District,sl@jobsrnr.com,31534579,Office Staff / Executive Search,39023057,2020
212,212,"Suite C, Level 7, World Trust Tower, 50 Stanley Street, Central, Hong Kong",None,THE ROYA AGENCY LIMITED,Central and Western District,hello@royaagency.com / tina@royaagency.com,None,"Imported Worker, Other Non-office Worker",93018525,2020
213,213,"Unit 1109-11, 11th floor, Prosperity Millennia Plaza, 663 King's Road, North Point, Hong Kong",None,Openrice Solutions Limited,Eastern District,compliance@openrice.com,25376811,"Office Staff / Executive Search, Other Non-office Worker",21703228,2020
214,214,"Room 02, 10th floor, Kenning Industrial Building, 19 Wang Hoi Road, Kowloon Bay, Kowloon",None,Portal Consultancy Co. Limited,Kwun Tong District,None,None,Other Non-office Worker,None,2020
215,215,"5th floor, 44A Sai Street, Tai Ping Shan, Sheung Wan, Hong Kong",None,Secura Solutions Limited,Central and Western District,ADMIN@SECURA-SOLUTIONS.COM,None,Office Staff / Executive Search,91671606,2020
216,216,"Unit 1804, 18th floor, 93-103 Wing Lok Street, Central, Hong Kong",None,LK Talent Limited,Central and Western District,info@lk-talent.com,23266186,"Office Staff / Executive Search, Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",23266186,2020
217,217,"8th floor, Good Harvest Commercial Building, 515-517 Nathan Road, Yau Ma Tei, Kowloon",None,DTMC CONSULTANCY COMPANY,Yau Tsim Mong District,dtmcconsultancy@yahoo.com,25819851,"Foreign Domestic Helpers, Imported Worker",27308030,2020
218,218,"Unit B, 12th floor, Hang Seng Causeway Bay Building, 28 Yee Wo Street, Causeway Bay, Hong Kong",None,IHRNET SOLUTIONS,Wan Chai District,HR@i-hrnet.com,None,Office Staff / Executive Search,37072236,2020
219,219,"Unit 1305, 13th floor, 135 Bonham Strand Trade Centre, 135 Bonham Strand, Sheung Wan, Hong Kong",None,GLA & CO.,Central and Western District,thegla.hk@gmail.com,39968381,Office Staff / Executive Search,29101323/92256709,2020
220,220,"Room 01A, 18th floor, Yue Shing Commercial Building, 15 Queen Victoria Street, Central, Hong Kong",None,KATH & MINE EMPLOYMENT AGENCY HK,Central and Western District,kathy3620@hotmail.com,None,Foreign Domestic Helpers,23699728,2020
221,221,"Room 907, 9th floor, Tower 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",None,Winston Employments Consultancy,Yau Tsim Mong District,hr@winstonconsultancy.com,None,Office Staff / Executive Search,23021234,2020
222,222,"Room A, 4th floor, Chi On Court, 77-81 Un Chau Street, Sham Shui Po, Kowloon",None,T.V.M SERVICES (HONG KONG),Sham Shui Po District,thaivisakrhk@gmail.com,None,"Foreign Domestic Helpers, Imported Worker",94231820 / 90449996,2020
223,223,"Room 606, 6th floor, Genplas Industrial Building, 56 Hoi Yuen Road, Kwun Tong, Kowloon",None,Hunt & Jump Limited,Kwun Tong District,info@huntnjump.co,36202311,"Office Staff / Executive Search, Imported Worker",36202109,2020
224,224,"17th floor, 80 Gloucester Road, Wan Chai, Hong Kong",None,Interfill Group Limited,Wan Chai District,tristanpangwork@gmail.com,None,Office Staff / Executive Search,55340136,2020
225,225,"Room 1035, 10th floor, Star House, 3 Salisbury Road, Tsim Sha Tsui, Kowloon",None,CKC Solutions Limited,Yau Tsim Mong District,michael.cheng@ckcsolutions.com.hk,None,Office Staff / Executive Search,90425610,2020
226,226,"Ground floor, 53 Tung Tau Wai, Wang Lok Street, Wang Chau, Yuen Long, New Territories",None,Aurora HR & Consultancy,Yuen Long District,aurora.humanresource@gmail.com,None,Office Staff / Executive Search,63817386,2020
227,227,"Unit 2006, 20th floor, Beverly House, 93-107 Lockhart Road, Wanchai, Hong Kong",None,Xponential Personnel Limited,Wan Chai District,echow@xp-personnel.com,30079391,"Office Staff / Executive Search, Other Non-office Worker",34817283,2021
228,228,"6th floor, 40 Bonham Strand, Sheung Wan, Hong Kong",None,TOP EXECUTIVE TALENT ENGINEERING,Central and Western District,pomeranianhk@yahoo.com.hk,None,Office Staff / Executive Search,27631818,2020
229,229,"Room 15B, 16th floor, Wing Hing Industrial Building, 83-93 Chai Wan Kok Street, Tsuen Wan, New Territories",None,SLAS//,Tsuen Wan District,info@slashunter.com,None,Other Non-office Worker,54009865,2020
230,230,"Unit 1, 7th floor, Royal Commercial Centre, 56 Parkes Street, Jordan, Kowloon",None,SERVICE PRO TECHNOLOGY LIMITED,Yau Tsim Mong District,p.lee@serviceprotech.com,35862481,Office Staff / Executive Search,35862480,2020
231,231,"Flat B, 23rd floor, Champion Court, 67 Wong Nai Chung Road, Happy Valley, Hong Kong",None,SPARK RECRUITMENT LIMITED,Wan Chai District,ahbonifant@gmail.com,None,Office Staff / Executive Search,91829543,2020
232,232,"Unit 701, 7th floor, Omega Plaza, 32 Dundas Street, Mong Kok, Kowloon",None,U-connected,Yau Tsim Mong District,None,None,"Foreign Domestic Helpers, Office Staff / Executive Search",35681088,2021
233,233,"Room C, 10th floor, Gaylord Commercial Building, 114-118 Lockhart Road, Wan Chai, Hong Kong",None,GOVERNANCE RECRUITMENT INTERNATIONAL,Wan Chai District,neilolofsson888@gmail.com,None,Office Staff / Executive Search,95563328,2021
234,234,"Room 2512, 25th floor, Office Tower, Langham Place, 8 Argyle Street, Mong Kok, Kowloon",None,LEWESKOOL CONSULTING CO. LIMITED,Yau Tsim Mong District,Bryen.li@leweskool.com,None,"Local Domestic Helpers, Office Staff / Executive Search",29614525,2020
235,235,"21st floor, CMA Building, 64 Connaught Road Central, Central, Hong Kong",None,20 Two North Limited,Central and Western District,andrewblake@20twonorth.com,None,Office Staff / Executive Search,None,2020
236,236,"Unit 93, Ground floor, Block B, King's Park Lane, 278-288 King's Road, North Point, Hong Kong",None,METRO PINOY ENTERPRISE,Eastern District,adnarima@hkstar.com / metropinoy@biznetvigator.com,25106224,Foreign Domestic Helpers,35967836,2020
237,237,"Room 1104, 11st floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,OMNI GROUP ASIA LIMITED,Central and Western District,seb.c@omnigroupasia.com,None,Office Staff / Executive Search,95183049,2020
238,238,"8B, Choi Ngar Yuen, 1 Shan Kwong Road, Happy Valley, Hong Kong",None,Hing Kwok Recruiter Limited,Wan Chai District,yoko.fujiwara@hkrecruiter.com,None,"Office Staff / Executive Search, Other Non-office Worker",54316751,2020
239,239,"Room 2202, 22nd floor, Leighton Centre, 77 Leighton Road, Causeway Bay, Hong Kong",None,CR Partners,Wan Chai District,findus@candrholdings.com,37473242,"Office Staff / Executive Search, Other Non-office Worker",35824232,2020
240,240,"Unit 1002, 10th floor, Unicorn Trade Centre, 127-131 Des Voeux Road Central, Central, Hong Kong",None,LMA Recruitment (HK) Limited,Central and Western District,gina.hui@lmarecruitment.com,None,Office Staff / Executive Search,37920371,2020
241,241,"3rd floor, World Trust Tower, 50 Stanley Street, Central, Hong Kong",None,Wantedly Hong Kong,Central and Western District,zoefung@gerbera.co.jp,None,Office Staff / Executive Search,37057858,2020
242,242,"Room 2103, 21st floor, Futura Plaza, 111 How Ming Street, Kwun Tong, Kowloon",None,Matthew Hoyle Limited,Kwun Tong District,MATTHEW.HOYLE@MATTHEWHOYLE.COM,None,Office Staff / Executive Search,61122304,2020
243,243,"Suite C, 9th floor, Ho Lee Commercial Building, 38-44 D'Aguilar Street, Central, Hong Kong",None,eHotelsHR LIMITED,Central and Western District,veon@hotelshr.com,25232321,"Office Staff / Executive Search, Other Non-office Worker",25231882,2020
244,244,"Flat 22, Block A, 23rd floor, Gold King Industrial Building, 35 Tai Lin Pai Road, Kwai Chung, New Territories",None,W&P EMPLOYMENT AGENCY,Kwai Tsing District,wphouseware@gmail.com,None,Foreign Domestic Helpers,26682627,2020
245,245,"Unit 27, 20th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",None,NEXT STEP JAPAN,Central and Western District,OZ.WILDE@NEXTSTEPJAPAN.JP,None,Office Staff / Executive Search,21599656,2020
246,246,"Room 501, 5th floor, Lansing House, 41-47 Queen's Road Central, Central, Hong Kong",None,A.C.J INTERNATIONAL RECRUITMENT SERVICES,Central and Western District,info@acj.com.hk,None,Foreign Domestic Helpers,81912818,2020
247,247,"Room 1304, 13th floor, Golden Gate Commercial Building, 136-138 Austin Road, Tsim Sha Tsui, Kowloon",None,Pelia Management Service Consultancy,Yau Tsim Mong District,iris@gratefulheart.com.hk,28389620,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",28389621,2021
248,248,"Room 601, 6th floor, Workingview Commercial Building, 21 Yiu Wa Street, Causeway Bay, Hong Kong",None,Cysec Partners,Wan Chai District,cysecpartners@icloud.com,None,Office Staff / Executive Search,96010214,2020
249,249,"Unit 19, 11th floor, BOC Group Life Assurance Tower, 136 Des Voeux Road Central, Central, Hong Kong",None,RESONANCE ASIA LIMITED,Central and Western District,marc@resonanceasia.com,None,Office Staff / Executive Search,92442626,2020
250,250,"Shop D13A, 1st floor, Planet Square, 1-15 Tak Man Street, Hung Hom, Kowloon",None,HELPERS WORLD EMPLOYMENT AGENCY,Kowloon City District,helpersworld2020@gmail.com,None,Foreign Domestic Helpers,31601619,2020
251,251,"Room 29C, 29th floor, Tower 1, Nob Hill, 8 King Lai Path, Kwai Chung, New Territories",None,GENTLE HANDS,Kwai Tsing District,sunny394hk@yahoo.com,None,Foreign Domestic Helpers,91645909,2020
252,252,"Room 4, Flat 15, 3rd floor, Block B, Hung Yu Mansion, 155-169 Castle Peak Road, Cheung Sha Wan, Kowloon",None,BOSS MAID CONSULTANCY,Sham Shui Po District,None,None,Foreign Domestic Helpers,None,2020
253,253,"Room 69, 7th floor, Woon Lee Commercial Building, 7-9 Austin Avenue, Tsim Sha Tsui, Kowloon",None,CO-OP CONSULTANTS LIMITED,Yau Tsim Mong District,service@co-opcons.com,None,Office Staff / Executive Search,21164969 / 98398366,2020
254,254,"Unit 2, 6th floor, Lemmi Centre, 50 Hoi Yuen Road, Kwun Tong, Kowloon",None,WINN SEARCH LIMITED,Kwun Tong District,info@winnsearch.com,None,Office Staff / Executive Search,None,2020
255,255,"Flat 01A1, 15th floor, Witty Commercial Building, 1A-1L Tung Choi Street, Mong Kok, Kowloon",None,Smile Employment Service,Yau Tsim Mong District,mandytai@cf-tex.com,None,Foreign Domestic Helpers,28930266,2020
256,256,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",None,GENIE HUNT RECRUITMENT,Central and Western District,info.geniehunt@gmail.com,,Office Staff / Executive Search,60996455,2020
257,257,"5th floor, Bonham Trade Centre, 50 Bonham Strand, Sheung Wan, Hong Kong",None,HKML Research Limited,Central and Western District,sam.ho@hkml-research.com,None,Office Staff / Executive Search,91534234,2020
258,258,"Room 1, 1st floor, Fook Hong Industrial Building, 19 Sheung Yuet Road, Kowloon Bay, Kowloon",None,Komsearch Talent Limited,Kwun Tong District,info@komsearch.com,31839865,Office Staff / Executive Search,31839880,2020
259,259,"Unit 2232B, 22nd floor, Yan's Tower, 25-27 Wong Chuk Hang Road, Aberdeen, Hong Kong",None,Premier Legal Search Limited,Southern District,charles.lo@premierlegalsearch.com,None,Office Staff / Executive Search,26070067,2020
260,260,"Shop 89A, Ground floor, 89 Fuk Wa Street, Sham Shui Po, Kowloon",None,BELLA MAID AGENCY,Sham Shui Po District,hk_bella@yahoo.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker, Other Non-office Worker",944443668,2020
261,261,"Room 1109, 11th floor, Tower 1B, Century Link, 6 Ying Hong Street, Tung Chung, Lantau Island, New Territories",None,Marine Shore Jobs Limited,Islands District,gaargichawla@outlook.com,None,Office Staff / Executive Search,98373961,2020
262,262,"Unit 903, 9th floor, Arion Commercial Centre, 2-12 Queen's Road West, Sheung Wan, Hong Kong",None,Sand Madison Group Limited,Central and Western District,info@sandmadison.com,28662433,"Office Staff / Executive Search, Imported Worker, Other Non-office Worker",28662800,2020
263,263,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,NEXT RECRUITMENT,Central and Western District,info@the-next-group.com,None,Office Staff / Executive Search,26382116,2020
264,264,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,Search Advisory Group Limited,Central and Western District,ravidillon@gmail.com,None,Office Staff / Executive Search,61994544,2021
265,265,"18th floor, Chun Wo Commercial Centre, 23-29 Wing Wo Street, Central, Hong Kong",None,APEX BUSINESS SERVICES LIMITED,Central and Western District,email@toyapex.com.hk,28916833,"Office Staff / Executive Search, Imported Worker",28917722,2021
266,266,"32nd floor, Hysan Place, 500 Hennessy Road, Causeway Bay, Hong Kong",None,Search Unlimited Company Limited,Wan Chai District,info@search.unlimited.com.hk,None,Office Staff / Executive Search,97287309,2021
267,267,"Room 8V, 8th floor, Haribest Industrial Building, 45-47 Au Pui Wan Street, Fo Tan, New Territories",None,Kuma Bear Recruitment Company,Sha Tin District,calvin.cheng@kumajobs.com,None,Office Staff / Executive Search,61715178,2020
268,268,"Flat B, 14th floor, Hyde Centre, 221-226 Gloucester Road, Wan Chai, Hong Kong",None,Amazin Consultants Limited,Wan Chai District,amazinhr1@gmail.com,None,Office Staff / Executive Search,25728630,2020
269,269,"Office B, 6th floor, Thomson Commercial Building, 8 Thomson Road, Wan Chai, Hong Kong",None,GEN ALPHA AGENCY,Wan Chai District,None,None,Office Staff / Executive Search,57228080,2021
270,270,"Room A, 18th floor, Heng Shan Centre, 145 Queen's Road East, Wanchai, Hong Kong",None,Heinbro Consulting,Wan Chai District,mbrown@heinbro.com,None,Office Staff / Executive Search,28111708,2021
271,271,"House 7, La Casa Bella, 9 Silver Cape Road, Clear Water Bay, Sai Kung, New Territories",None,Work For Impact Limited,Sai Kung District,geoff@workforimpact.com,None,Other Non-office Worker,60780621,2021
272,272,"Units 801-803, Level 8, Smart Space 3C, Core C, Cyberport 3, 100 Cyberport Road, Pok Fu Lam, Hong Kong",None,Mackintosh Professional Services Company,Southern District,daniel.wong@mackinpro.com,None,Office Staff / Executive Search,31132889,2021
273,273,"Flat 3302, 33rd floor, Tower 3, Harbourview Horizon, 12 Hung Lok Road, Hung Hom, Kowloon",None,Beracah Consultancy Limited,Kowloon City District,sandichan@beracah.asia,None,Office Staff / Executive Search,21295362,2021
274,274,"Unit G1, 35th floor, Legend Tower, 7 Shing Yip Street, Kwun Tong, Kowloon",None,J-Leads Limited,Kwun Tong District,cs@j-leads.com,None,Office Staff / Executive Search,56302993,2021
275,275,"Room 2504, 25th floor, Universal Trade Centre, 3 Arbuthnot Road, Central, Hong Kong",None,Aviation Support Services,Central and Western District,hello@aviationsupport.services,28681163,"Office Staff / Executive Search, Other Non-office Worker",28681287,2021
276,276,"Room 1015C, 10th floor, Block B, Hunghom Commercial Center, 37 Ma Tau Wai Road, Hung Hom, Kowloon",None,P3 Impex Limited,Kowloon City District,P3IMPEX@GMAIL.COM,None,Office Staff / Executive Search,36909004,2021
277,277,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wanchai, Hong Kong",None,BestTop Education Technology Limited,Wan Chai District,tonymwtam@gmail.com,None,"Office Staff / Executive Search, Other Non-office Worker",92102647,2021
278,278,"Unit 7, 19th floor, Tuen Mun Parklane Square, 2 Tuen Hi Road, Tuen Mun, New Territories",None,Super Mommy Care Limited,Tuen Mun District,dmcatwork@gmail.com,30108433,Other Non-office Worker,55975915,2021
279,279,"Room 1802, 18th floor, NPAC, 10 North Point Road, North Point, Hong Kong",None,WESTLAKE MANPOWER RESOURCES CO.,Eastern District,None,34604087,"Local Domestic Helpers, Foreign Domestic Helpers",68484820,2021
280,280,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,Simplivy Limited,Central and Western District,roddy@simplivy.co,None,Office Staff / Executive Search,90944426,2021
281,281,"Room 701, 7th floor, World-Wide House, 19 Des Voeux Road Central, Central, Hong Kong",None,HARSTON COMPANY LIMITED,Central and Western District,mtaylor@harston.com,None,Other Non-office Worker,22130200,2021
282,282,"Unit 6, 11th floor, Prosperity Place, 6 Shing Yip Street, Kwun Tong, Kowloon",None,JibJob,Kwun Tong District,admin@jibjob.hk,None,"Office Staff / Executive Search, Other Non-office Worker",36112392,2021
283,283,"Flat A, 11th floor, Sun Ga Building, 56-60 Castle Peak Road, Yuen Long, New Territories",None,COURTESY EMPLOYMENT AGENCY,Yuen Long District,hejenhk@gmail.com,24482350,"Local Domestic Helpers, Foreign Domestic Helpers",95530974,2021
284,284,"Room 1111, 11th floor, Block 2, Silvercord, 30 Canton Road, Tsim Sha Tsui, Kowloon",None,U n K Recruitment Limited,Yau Tsim Mong District,unkrecruitment97@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",39598188,2021
285,285,"Room 802A, 8th floor, Mary Building, 71-77 Peking Road, Tsim Sha Tsui, Kowloon",None,AGI CONSULTATION,Yau Tsim Mong District,hr@agi-consultation.com,None,Office Staff / Executive Search,65786012,2021
286,286,"Unit 2002, 20th floor, Cheung Kong Center, 2 Queen's Road Central, Central, Hong Kong",None,MIGHTY DIVINE PERSONNEL CONSULTANTS LIMITED,Central and Western District,hr@mdgroup.com.hk,29162555,Office Staff / Executive Search,29162501,2021
287,287,"Room 510, 5th floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong",None,Jobson Mores Limited,Central and Western District,jan.li@jobsonmores.com,None,Office Staff / Executive Search,95653067,2021
288,288,"Room 1408, 14th floor, China Hong Kong Tower, 8-12 Hennessy Road, Wan Chai, Hong Kong",None,STAR Resourcing Partners Limited,Wan Chai District,None,None,Office Staff / Executive Search,None,2021
289,289,"Unit C, 4th floor, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui, Kowloon",None,KeeReal Consulting Limited,Yau Tsim Mong District,info@keereal.com.hk,None,Office Staff / Executive Search,37069527,2021
290,290,"Unit 1506, 15th floor, Tamson Plaza, 161 Wai Yip Street, Kwun Tong, Kowloon",None,Cari Majikan,Kwun Tong District,helperdb0@gmail.com,28035377,Foreign Domestic Helpers,93660634,2021
291,291,"Unit 1506, 15th floor, Tamson Plaza, 161 Wai Yip Street, Kwun Tong, Kowloon",None,Trabahoto,Kwun Tong District,helperdb0@gmail.com,28035377,Foreign Domestic Helpers,93660634,2021
292,292,"Room 2301, 23rd floor, Bayfield Building, 99 Hennessy Road, Wan Chai, Hong Kong",None,Unity Partners Asia,Wan Chai District,thomas.hardy@unity-partners.com,None,Office Staff / Executive Search,97546688,2021
293,293,"10th floor, Dawning House, 145 Connaught Road Central, Sheung Wan, Hong Kong",None,PULLMAN MORRISON LIMITED,Central and Western District,contact@pullmanmorrison.com,None,Office Staff / Executive Search,58086940 / 56464579,2021
294,294,"Rooms A-B, 25th floor, King Palace Plaza, 55 King Yip Street, Kwun Tong, Kowloon",None,Faith Search Limited,Kwun Tong District,faithsearchlimited@gmail.com,28776226,Office Staff / Executive Search,28776227,2021
295,295,"Unit A, 11th floor, Wing Tat Commercial Building, 121-125 Wing Lok Street, Central, Hong Kong",None,A PLUS DK GLOBAL SERVICES,Central and Western District,dilip@aplusdk.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",63806671,2021
296,296,"Suites 2304-05, 23rd floor, Tower 2, The Gateway, Harbour City, 25 Canton Road, Tsim Sha Tsui, Kowloon",None,JIG Talent Solutions,Yau Tsim Mong District,rita.tsang@jigopt.com,None,Office Staff / Executive Search,91037717,2021
297,297,"Room 1008, 10th floor, New East Sun Industrial Building, 18 Shing Yip Street, Kwun Tong, Kowloon",None,JobTotal Limited,Kwun Tong District,kennethtang@jobtotal.com.hk / michellelam@jobtotal.com.hk,None,"Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker",53152688,2021
298,298,"Unit 607, 6th floor, Delta House, 3 On Yiu Street, Shek Mun, Sha Tin, New Territories",None,VEMA Consultancy,Sha Tin District,glenn@vemaconsult.com,None,Office Staff / Executive Search,54259653,2021
299,299,"20th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",None,ETR Partners Limited,Central and Western District,admin@etrpartners.com,21599688,Office Staff / Executive Search,21599128,2021
300,300,"Room 11-13, 21st floor, Prudential Tower, The Gateway, Harbour City, 21 Canton Road, Tsim Sha Tsui, Kowloon",None,CW Business Services Limited,Yau Tsim Mong District,cw@cwhkcpa.com,30206016,Office Staff / Executive Search,29563798,2021
301,301,"Room 1007, 10th floor, Sterling Centre, 11 Cheung Yue Street, Lai Chi Kok, Kowloon",None,TCHR SERVICES LIMITED,Sham Shui Po District,hr@tchrservices.hk,None,"Office Staff / Executive Search, Other Non-office Worker",21935159,2021
302,302,"Room 509, 5th floor, APEC Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",None,R-Hong Kong,Kwun Tong District,"cary@ga-asia.com, sando@ga-asia.com",None,Other Non-office Worker,36187027,2021
303,303,"Room 509, 5th floor, Apec Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",None,Asia Human Development Limited,Kwun Tong District,"cary@ga-asia.com, sando@ga-asia.com",None,Other Non-office Worker,36187027,2021
304,304,"5th floor, Core F, Cyberport 3, 100 Cyberport Road, Cyberport, Hong Kong",None,AQ Talent Lab,Southern District,info@aq-question.org,None,"Office Staff / Executive Search, Imported Worker",95435883,2021
305,305,"Room 406, 4th floor, Sun House, 181 Des Voeux Road Central, Sheung Wan, Hong Kong",None,Captar Partners,Central and Western District,rchung@captarpartners.com,None,Office Staff / Executive Search,36535248,2021
306,306,"Room 603, 6th floor, Nam Wo Hong Building, 148 Wing Lok Street, Sheung Wan, Hong Kong",None,CYPRESS HR EXPERT CONSULTANCY,Central and Western District,patrick@cypresshk.co,None,Office Staff / Executive Search,68189288,2021
307,307,"Room 7B, 7th floor, One Capital Place, 18 Luard Road, Wanchai, Hong Kong",None,The Hong Kong Internship Platform Limited,Wan Chai District,calvin@the-hkip.com,None,Other Non-office Worker,60420260,2021
308,308,"Flat C, 3rd floor, Lungga Mansion, 46A Belcher's Street, Kennedy Town, Hong Kong",None,CYLF CONSULTING LIMITED,Central and Western District,chris.yip01@gmail.com,None,"Office Staff / Executive Search, Other Non-office Worker",62911049,2021
309,309,"Ground floor, 24 Heung Wo Street, Tsuen Wan, New Territories",None,TYM EMPLOYMENT SERVICES,Tsuen Wan District,charmpereztsang@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",61397984,2021
310,310,"Unit 19, 7th floor, One Midtown, 11 Hoi Shing Road, Tsuen Wan, New Territories",None,D' Angelo Archer Recruitment Limited,Tsuen Wan District,None,None,Office Staff / Executive Search,90581152,2021
311,311,"Room A04, 17th floor, Tower 1, Grand Century Place, 193 Prince Edward Road West, Mong Kok, Kowloon",None,Talentus Group HK Limited,Yau Tsim Mong District,general@talentusgroup.com,None,Office Staff / Executive Search,23222310,2021
312,312,"Room 301, 3rd floor, Kam On Building, 176A Queen's Road Central, Central, Hong Kong",None,ASIAN CONSTRUCTION LIMITED,Central and Western District,atlhk@live.hk,28543813,"Foreign Domestic Helpers, Imported Worker",25422340,2021
313,313,"6th floor, The Gateway Tower 2, 25 Canton Road, Tsim Sha Tsui, Kowloon",None,PERSOLKELLY HONG KONG,Yau Tsim Mong District,None,22810099,Office Staff / Executive Search,22810000,2021
314,314,"Room 5, 22nd floor, Wealth Commercial Centre, 48 Kwong Wa Street, Mong Kok, Kowloon",None,LW Consulting,Yau Tsim Mong District,andyfspong@gmail.com,None,Office Staff / Executive Search,96294083,2021
315,315,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",None,Fortitude Search,Central and Western District,clement.tse@fortitudesearch.com,None,Office Staff / Executive Search,61000811,2021
316,316,"Flat B, 7th floor, Capital Commercial Building, 448 Shanghai Street, Mong Kok, Kowloon",None,Talent Fishers Hong Kong Executive Search & HR Consulting Limited,Yau Tsim Mong District,china-inquiries@talent-fishers.com,None,Office Staff / Executive Search,None,2021
317,317,"Unit 1002, 10th floor, Cambridge House, 26-28 Cameron Road, Tsim Sha Tsui, Kowloon",None,J&C Employment Consultant,Yau Tsim Mong District,info@jncemployment.com,None,Office Staff / Executive Search,23378101,2021
318,318,"Room 803, 8th floor, Hong Kong Plaza, 188 Connaught Road West, Sai Wan, Hong Kong",None,IDEALINK CONSULTANCY,Central and Western District,None,None,Office Staff / Executive Search,None,2021
319,319,"29th floor, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan, Hong Kong",None,Chapman Andrews Executive Recruitment,Central and Western District,info@chapmanandrews.com,None,Office Staff / Executive Search,None,2021
320,320,"Room 2113, 21st floor, Landmark North, 39 Lung Sum Avenue, Sheung Shui, New Territories",None,V-Match Consultancy,North District,ae168@netvigator.com,None,Office Staff / Executive Search,26682220,2021
321,321,"5th floor, Man On Commercial Building, 12-13 Jubilee Street, Central, Hong Kong",None,ASTRA CONCORDIA LIMITED,Central and Western District,company@astraconcordia.com,None,Office Staff / Executive Search,37920664,2021
322,322,"21st floor, Pearl Oriental House, 60 Stanley Street, Central, Hong Kong",None,Yuzu,Central and Western District,yuzu@staranise.com.hk,None,Office Staff / Executive Search,34603531,2021
323,323,"Unit 186, 1st floor, Peninsula Centre, 67 Mody Road, Tsim Sha Tsui, Kowloon",168女傭顧問公司,I&P 168 CONSULTANT CO,Yau Tsim Mong District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",90981792,2020
324,324,"15th floor, Pico Tower, 66 Gloucester Road, Wan Chai, Hong Kong",21世紀人事顧問有限公司,ProJob21.com Limited,Wan Chai District,heidi@projob21.com,37550606,Office Staff / Executive Search,37550655,2001
325,325,"Shop 91, Ground floor, Maximall, 233 Electric Road, North Point, Hong Kong",23僱傭有限公司,Psalm 23 Employment Limited,Eastern District,23employment@gmail.com,36195312,"Local Domestic Helpers, Foreign Domestic Helpers",94368335,2019
326,326,"Unit 08, 13th floor, Multifield Plaza, 3 Prat Avenue, Tsim Sha Tsui, Kowloon",365兼職,365 PART TIME,Yau Tsim Mong District,cs@365parttime.com.hk,None,Other Non-office Worker,34650213,2017
